actor;law;link.law;date;link.statement;V10b;V4;PH;in.gesamt;;
Bundesverband der Energie- und Wasserwirtschaft e. V.;Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;10. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08102016_Stellungnahme_BDEW_RefE_InsO.pdf?__blob=publicationFile&v=2;18/9983;64;1;1;;
Bundesverband Deutscher Inkasso-Unternehmen e.V. (BDIU);Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;04. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08042016_Stellungnahme_BDIU_RefE_InsO.pdf?__blob=publicationFile&v=3;18/9983;2669;1;1;;
Bundesverband Investment und Asset Management e.V. (BVI);Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;12. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08122016_Stellungnahme_BVI_RefE_InsO.pdf?__blob=publicationFile&v=3;18/9983;622;1;1;;
Bundesverbandes Großhandel, Außenhandel, Dienstleistungen e.V. (BGA);Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;12. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08122016_Stellungnahme_BGA_RefE_InsO.pdf?__blob=publicationFile&v=2;18/9983;NA;1;1;;
dbb beamtenbund und tarifunion;Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;12. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08122016_Stellungnahme_dbb_RefE_InsO.pdf?__blob=publicationFile&v=2;18/9983;164;1;1;;
Deutsche Börse Group;Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;12. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08122016_Stellungnahme_Deutsche_Boerse_RefE_InsO.pdf?__blob=publicationFile&v=2;18/9983;NA;1;1;;
Deutscher Anwaltverein (DAV);Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;12. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08122016_Stellungnahme_DAV_RefE_InsO.pdf?__blob=publicationFile&v=2;18/9983;NA;1;1;;
Deutscher Notarverein e.V. (DNotV);Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;12. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08122016_Stellungnahme_DNotV_RefE_InsO.pdf?__blob=publicationFile&v=2;18/9983;272;1;1;;
Deutsches Aktieninstitut e.V. (DAI);Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;12. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08122016_Stellungnahme_DAI_RefE_InsO.pdf?__blob=publicationFile&v=2;18/9983;167;1;1;;
Die Deutsche Kreditwirtschaft (DK);Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;12. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08122016_Stellungnahme_Die_Deutsche_Kreditwirtschaft_RefE_InsO.pdf?__blob=publicationFile&v=2;18/9983;603;1;1;;
